Oliver A. Iggesen. 2013. Asymmetrical Case-Marking.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
WALS Online (v2020.4) [Data set]. Zenodo.
https://doi.org/10.5281/zenodo.13950591
(Available online at http://wals.info/chapter/50, Accessed on 2025-11-01.)

wals code	name	value	description	latitude	longitude	genus	family	area
nug	Nunggubuyu	3	Additive-quantitatively asymmetrical	-13.75	135.666666667	Nunggubuyu	Gunwinyguan	Nominal Categories
ond	Oneida	1	No case-marking	43.0	-75.6666666667	Northern Iroquoian	Iroquoian	Nominal Categories
orh	Oromo (Harar)	4	Subtractive-quantitatively asymmetrical	9.0	42.0	Lowland East Cushitic	Afro-Asiatic	Nominal Categories
ots	Otomí (Sierra)	1	No case-marking	20.6666666667	-98.8333333333	Otomian	Oto-Manguean	Nominal Categories
pms	Paamese	1	No case-marking	-16.5	168.25	Oceanic	Austronesian	Nominal Categories
pai	Paiwan	3	Additive-quantitatively asymmetrical	22.5	120.833333333	Paiwan	Austronesian	Nominal Categories
pal	Palauan	1	No case-marking	7.5	134.583333333	Palauan	Austronesian	Nominal Categories
pan	Panjabi	6	Syncretism in relevant NP-types	31.0	74.0	Indic	Indo-European	Nominal Categories
psh	Pashto	3	Additive-quantitatively asymmetrical	33.0	67.0	Iranian	Indo-European	Nominal Categories
psm	Passamaquoddy-Maliseet	4	Subtractive-quantitatively asymmetrical	45.0	-67.0	Algonquian	Algic	Nominal Categories
pau	Paumarí	4	Subtractive-quantitatively asymmetrical	-6.0	-64.0	Arauan	Arauan	Nominal Categories
prs	Persian	2	Symmetrical	32.0	54.0	Iranian	Indo-European	Nominal Categories
prh	Pirahã	2	Symmetrical	-7.0	-62.0	Mura	Mura	Nominal Categories
